INV90169|APP-91326|1000.0|2026-04-08T23:31:14.932931300|Online Transfer|true|TP902913|2026-04-07T22:21:18.761972700|2026-04-08T23:31:14.934634300
INV57830|APP-27500|1000.0|||false||2026-04-08T22:59:18.260441200|2026-04-08T22:59:18.260441200
INV13519|APP-12379|500.0|2026-04-11T06:08:32.803213100|Debit Card|true|TP902913|2026-04-08T23:16:48.738282600|2026-04-11T06:08:32.806224500
INV51751|APP-26412|1000.0|||false||2026-04-11T15:34:03.552386|2026-04-11T15:34:03.552386
INV92230|APP-80002|1200.0|||false||2026-04-30T17:56:39.346969200|2026-04-30T17:56:39.346969200
INV55502|APP-73745|1200.0|||false||2026-05-01T17:18:30.329929300|2026-05-01T17:18:30.329929300
INV20105|APP-46884|600.0|||false||2026-05-01T17:20:43.110973200|2026-05-01T17:20:43.110973200
INV17546|APP-42822|600.0|||false||2026-05-01T17:21:35.703218300|2026-05-01T17:21:35.703218300
INV40013|APP-95410|600.0|||false||2026-05-01T17:30:57.333750900|2026-05-01T17:30:57.333750900
INV95777|APP-45864|600.0|||false||2026-05-01T17:31:41.792172500|2026-05-01T17:31:41.792172500
INV50784|APP-10658|600.0|||false||2026-05-01T17:32:15.435108400|2026-05-01T17:32:15.435108400
INV75808|APP-74750|600.0|||false||2026-05-01T17:32:36.740915100|2026-05-01T17:32:36.740915100
